subject,music,measure,value
9,circle,high,5
10,circle,high,2
11,circle,high,2
12,circle,high,4
13,circle,high,4
1,circle,low,3
2,circle,low,2
3,circle,low,2
4,circle,low,3
5,circle,low,2
6,circle,low,3
7,circle,low,2
8,circle,low,1
9,circle,low,1
10,circle,low,4
11,circle,low,4
12,circle,low,2
13,circle,low,4
1,circle,loud,2
2,circle,loud,1
3,circle,loud,3
4,circle,loud,3
5,circle,loud,4
6,circle,loud,3
7,circle,loud,3
8,circle,loud,2
9,circle,loud,3
10,circle,loud,2
11,circle,loud,3
12,circle,loud,3
13,circle,loud,4
1,circle,soft,4
2,circle,soft,5
3,circle,soft,3
4,circle,soft,4
5,circle,soft,3
6,circle,soft,3
7,circle,soft,3
8,circle,soft,3
9,circle,soft,3
10,circle,soft,4
11,circle,soft,3
12,circle,soft,3
13,circle,soft,2
1,circle,consonant,5
2,circle,consonant,3
3,circle,consonant,5
4,circle,consonant,5
5,circle,consonant,4
6,circle,consonant,5
7,circle,consonant,4
8,circle,consonant,4
9,circle,consonant,5
10,circle,consonant,5
11,circle,consonant,3
12,circle,consonant,4
13,circle,consonant,2
1,circle,dissonant,1
2,circle,dissonant,3
3,circle,dissonant,1
4,circle,dissonant,1
5,circle,dissonant,2
6,circle,dissonant,1
7,circle,dissonant,2
8,circle,dissonant,2
9,circle,dissonant,1
10,circle,dissonant,1
11,circle,dissonant,4
12,circle,dissonant,1
13,circle,dissonant,4
1,circle,instruments,"strings, bass, cello"
2,circle,instruments,Strings
3,circle,instruments,strings
4,circle,instruments,"violin, viola, harp"
5,circle,instruments,Violin
6,circle,instruments,violin
7,circle,instruments,violin
8,circle,instruments,"violin, bass"
9,circle,instruments,violin
10,circle,instruments,violin
11,circle,instruments,"various strings, a cello?"
12,circle,instruments,"cello, violin, viola"
13,circle,instruments,violin
1,cradle,fast,1
2,cradle,fast,1
3,cradle,fast,1
4,cradle,fast,1
5,cradle,fast,2
6,cradle,fast,2
7,cradle,fast,1
8,cradle,fast,2
9,cradle,fast,1
10,cradle,fast,1
11,cradle,fast,2
12,cradle,fast,1
13,cradle,fast,1
1,cradle,slow,5
2,cradle,slow,5
3,cradle,slow,5
4,cradle,slow,3
5,cradle,slow,4
6,cradle,slow,3
7,cradle,slow,5
8,cradle,slow,3
9,cradle,slow,5
10,cradle,slow,5
11,cradle,slow,4
12,cradle,slow,4
13,cradle,slow,5
1,cradle,high,3
2,cradle,high,5
3,cradle,high,3
4,cradle,high,3
5,cradle,high,3
6,cradle,high,2
7,cradle,high,3
8,cradle,high,3
9,cradle,high,2
10,cradle,high,2
11,cradle,high,3
12,cradle,high,4
13,cradle,high,2
1,cradle,low,4
2,cradle,low,1
3,cradle,low,3
4,cradle,low,3
5,cradle,low,2
6,cradle,low,3
7,cradle,low,4
8,cradle,low,2
9,cradle,low,4
10,cradle,low,4
11,cradle,low,2
12,cradle,low,1
13,cradle,low,4
1,cradle,loud,1
2,cradle,loud,2
3,cradle,loud,2
4,cradle,loud,1
5,cradle,loud,2
6,cradle,loud,2
7,cradle,loud,2
8,cradle,loud,2
9,cradle,loud,2
10,cradle,loud,2
11,cradle,loud,1
12,cradle,loud,1
13,cradle,loud,2
1,cradle,soft,5
2,cradle,soft,5
3,cradle,soft,4
4,cradle,soft,3
5,cradle,soft,5
6,cradle,soft,4
7,cradle,soft,4
8,cradle,soft,4
9,cradle,soft,5
10,cradle,soft,4
11,cradle,soft,4
12,cradle,soft,5
13,cradle,soft,4
1,cradle,consonant,5
2,cradle,consonant,3
3,cradle,consonant,5
4,cradle,consonant,4
5,cradle,consonant,4
6,cradle,consonant,5
7,cradle,consonant,5
8,cradle,consonant,5
9,cradle,consonant,5
10,cradle,consonant,4
11,cradle,consonant,5
12,cradle,consonant,5
13,cradle,consonant,2
1,cradle,dissonant,1
2,cradle,dissonant,3
3,cradle,dissonant,1
4,cradle,dissonant,1
5,cradle,dissonant,2
6,cradle,dissonant,1
7,cradle,dissonant,2
8,cradle,dissonant,1
9,cradle,dissonant,1
10,cradle,dissonant,2
11,cradle,dissonant,2
12,cradle,dissonant,1
13,cradle,dissonant,4
1,cradle,instruments,piano
2,cradle,instruments,Piano
3,cradle,instruments,piano
4,cradle,instruments,piano
5,cradle,instruments,piano
6,cradle,instruments,piano
7,cradle,instruments,piano
8,cradle,instruments,piano
9,cradle,instruments,piano
10,cradle,instruments,piano
11,cradle,instruments,piano
12,cradle,instruments,piano
13,cradle,instruments,piano
1,departure,fast,2
2,departure,fast,1
3,departure,fast,2
4,departure,fast,3
5,departure,fast,3
6,departure,fast,2
7,departure,fast,3
8,departure,fast,2
9,departure,fast,2
10,departure,fast,1
11,departure,fast,2
12,departure,fast,3
13,departure,fast,2
1,departure,slow,4
2,departure,slow,5
3,departure,slow,4
4,departure,slow,3
5,departure,slow,3
6,departure,slow,3
7,departure,slow,5
8,departure,slow,3
9,departure,slow,4
10,departure,slow,5
11,departure,slow,3
12,departure,slow,3
13,departure,slow,4
1,departure,high,4
2,departure,high,3
3,departure,high,3
4,departure,high,4
5,departure,high,4
6,departure,high,4
7,departure,high,5
8,departure,high,5
9,departure,high,5
10,departure,high,3
11,departure,high,4
12,departure,high,4
13,departure,high,4
1,departure,low,2
2,departure,low,3
3,departure,low,3
